account,txn_id,amount,balance
9bfb0b37-bd82-4718-b7d7-a92e521e28be,1e449074-f6e5-42e6-ab1f-79b264be1f46,-4929,21315
ad3d3cc8-1ed4-456d-bc3a-a1daf6e50aad,1e449074-f6e5-42e6-ab1f-79b264be1f46,4929,44537
9bfb0b37-bd82-4718-b7d7-a92e521e28be,6e9cb650-a6ec-423c-9098-c59d01d7991f,-1773,19542
4ac9c5d5-e350-47a3-875c-7efbabe57ea6,6e9cb650-a6ec-423c-9098-c59d01d7991f,1773,15675
9bfb0b37-bd82-4718-b7d7-a92e521e28be,ff48ca22-b36f-47e9-b3f7-0b05c33718a4,-4179,15363
ed7d0628-7904-4108-90d2-0b85cae4a63d,ff48ca22-b36f-47e9-b3f7-0b05c33718a4,4179,56372
9bfb0b37-bd82-4718-b7d7-a92e521e28be,85fa8b3e-dcdc-4cc0-810e-6cf1b1cb1b65,-9581,5782
bdae53de-e47b-47e1-8d6e-384fe0786ed3,85fa8b3e-dcdc-4cc0-810e-6cf1b1cb1b65,9581,31040
9bfb0b37-bd82-4718-b7d7-a92e521e28be,57e84ab6-10ac-415e-aa74-8d360fa91310,-1102,4680
2cc85ea1-82bb-4ff7-b306-6d47c8f7004d,57e84ab6-10ac-415e-aa74-8d360fa91310,1102,21399
9bfb0b37-bd82-4718-b7d7-a92e521e28be,8deef4b3-b18a-420a-ae00-9537b31a16a2,-6619,-1939
8bbe1a92-5cbf-4639-ab6f-392cfbcef9f3,8deef4b3-b18a-420a-ae00-9537b31a16a2,6619,12003
9bfb0b37-bd82-4718-b7d7-a92e521e28be,690bab69-2991-49df-8b5f-cf82a1a2a64d,-6529,-8468
c427b64e-9b07-4150-8006-74c1fc035d1b,690bab69-2991-49df-8b5f-cf82a1a2a64d,6529,9411
9bfb0b37-bd82-4718-b7d7-a92e521e28be,540a546a-e627-4c68-8f90-122fdf471e34,-2438,-10906
91876c13-919c-4a28-be2f-554e407cf295,540a546a-e627-4c68-8f90-122fdf471e34,2438,50393
9bfb0b37-bd82-4718-b7d7-a92e521e28be,f6ece9f5-8b43-4078-95e0-190699dbdda5,-5826,-16732
c5640791-dc24-4d30-8368-8e8170dad506,f6ece9f5-8b43-4078-95e0-190699dbdda5,5826,68537
9bfb0b37-bd82-4718-b7d7-a92e521e28be,1c8592a3-4971-425e-a8d3-eb7299df4bce,-710,-17442
f227b9a7-e052-4e69-869b-20898724e9a2,1c8592a3-4971-425e-a8d3-eb7299df4bce,710,54178
9bfb0b37-bd82-4718-b7d7-a92e521e28be,969b31c0-9d7a-4523-8d54-7bd7093604ab,-541,-17983
3e6fa5e0-e8e8-4f3e-9ba6-cfe26dd02162,969b31c0-9d7a-4523-8d54-7bd7093604ab,541,10371
9bfb0b37-bd82-4718-b7d7-a92e521e28be,f34474cb-23a3-4d73-a907-c5f01b8bb20f,-1156,-19139
df0b3d0a-9235-4878-8fc3-a9688ccb56a5,f34474cb-23a3-4d73-a907-c5f01b8bb20f,1156,36246
9bfb0b37-bd82-4718-b7d7-a92e521e28be,c73e4015-3541-421a-a61a-f75e91a86d1c,-4346,-23485
72d5400a-c961-4aef-82f6-0293351d5e31,c73e4015-3541-421a-a61a-f75e91a86d1c,4346,74806
9bfb0b37-bd82-4718-b7d7-a92e521e28be,5698cb94-d833-4343-b7ef-2f71df4ce397,-8005,-31490
63b7b6c6-898e-45e8-ae99-399f0be6b218,5698cb94-d833-4343-b7ef-2f71df4ce397,8005,87222
9bfb0b37-bd82-4718-b7d7-a92e521e28be,6b23f95f-7508-4832-923c-2cce4c208e12,-145,-31635
92de72b8-2f44-4429-8471-22c8774a3c9a,6b23f95f-7508-4832-923c-2cce4c208e12,145,31210
9bfb0b37-bd82-4718-b7d7-a92e521e28be,ce21fe5a-ba53-46d0-bded-2832cf227eaa,-9793,-41428
28d53538-421c-47be-b511-817b6424144b,ce21fe5a-ba53-46d0-bded-2832cf227eaa,9793,48933
9bfb0b37-bd82-4718-b7d7-a92e521e28be,84a9a9ca-df2a-4e6b-94a3-74f722e9aa27,-1847,-43275
d1fcff67-b59c-413e-ad81-b21ad71fd5d3,84a9a9ca-df2a-4e6b-94a3-74f722e9aa27,1847,37773
9bfb0b37-bd82-4718-b7d7-a92e521e28be,3f6be322-30e0-410a-85e4-eddf62177034,-3654,-46929
f5db01be-c2c0-4a2c-80e6-1c7774e96f2f,3f6be322-30e0-410a-85e4-eddf62177034,3654,77865
9bfb0b37-bd82-4718-b7d7-a92e521e28be,3d25de50-5080-4a40-81c4-73a035c23432,-5207,-52136
