account,txn_id,amount,balance
2a3406a7-d379-4b37-bde1-a180bfe73da0,0e006e74-a20a-4c9d-b601-b4955c26bb20,-2554,64028
259ace8a-9232-4c7d-9620-ae457d83a9ec,0e006e74-a20a-4c9d-b601-b4955c26bb20,2554,35569
2a3406a7-d379-4b37-bde1-a180bfe73da0,bdb93c91-4db1-45fb-9714-2b42269cd994,-8628,55400
cb673c2a-7f58-41d6-a27a-3ec35dbfc22b,bdb93c91-4db1-45fb-9714-2b42269cd994,8628,28029
2a3406a7-d379-4b37-bde1-a180bfe73da0,28d8277c-830a-4e2f-bfb8-f2384c6e6d38,-5154,50246
2a0ea946-808d-4c28-a33d-f36aeb849cdf,28d8277c-830a-4e2f-bfb8-f2384c6e6d38,5154,84691
2a3406a7-d379-4b37-bde1-a180bfe73da0,477fa883-fdde-4528-a980-fe5b29bf102e,-4112,46134
bf50b2ce-5054-4d02-88ec-34b1ffee2f4d,477fa883-fdde-4528-a980-fe5b29bf102e,4112,46517
2a3406a7-d379-4b37-bde1-a180bfe73da0,2daad26f-3ce9-4848-9cc1-506b060beac4,-7565,38569
79b5cfb0-c5fa-4558-8600-411afb434301,2daad26f-3ce9-4848-9cc1-506b060beac4,7565,90229
2a3406a7-d379-4b37-bde1-a180bfe73da0,993dc3d5-0d88-42e4-9dff-a523af843cb1,-5514,33055
ec372a9a-4f8d-4740-bfea-c8e701b71041,993dc3d5-0d88-42e4-9dff-a523af843cb1,5514,93061
2a3406a7-d379-4b37-bde1-a180bfe73da0,81326b51-8b8d-4264-806d-3b6001d70b85,-3313,29742
1d2582d6-75cf-455f-b4ff-281b91d24020,81326b51-8b8d-4264-806d-3b6001d70b85,3313,5515
2a3406a7-d379-4b37-bde1-a180bfe73da0,defe3112-b90a-44b3-9f7e-77320245a72c,-2273,27469
4613ca2c-2c35-42cd-95f8-6c54faf8053a,defe3112-b90a-44b3-9f7e-77320245a72c,2273,74734
2a3406a7-d379-4b37-bde1-a180bfe73da0,38e61d86-d302-4909-89bd-1f297d489756,-9674,17795
3dc9d172-8903-47e6-ae0a-634fd5c62a93,38e61d86-d302-4909-89bd-1f297d489756,9674,34703
2a3406a7-d379-4b37-bde1-a180bfe73da0,eeb8f224-5d89-4058-bf8c-d1b82aed39da,-6103,11692
6c16c267-17cb-4c0a-9f30-807e6aad00a1,eeb8f224-5d89-4058-bf8c-d1b82aed39da,6103,29179
2a3406a7-d379-4b37-bde1-a180bfe73da0,d1ada0fc-9ef0-493c-b96e-6c4f7e36b8c2,-7456,4236
9c53b8ba-3964-4618-aba2-cc480e5549e1,d1ada0fc-9ef0-493c-b96e-6c4f7e36b8c2,7456,28112
2a3406a7-d379-4b37-bde1-a180bfe73da0,5d6333ed-517b-4ab3-abcc-527a5d3d063d,-9513,-5277
199f073d-31a3-4503-b828-d85848a0f868,5d6333ed-517b-4ab3-abcc-527a5d3d063d,9513,52152
2a3406a7-d379-4b37-bde1-a180bfe73da0,a84febe2-27f6-4da7-b786-b401fec17878,-8336,-13613
a9d7e354-7733-4f04-a742-371ccc791b75,a84febe2-27f6-4da7-b786-b401fec17878,8336,70936
2a3406a7-d379-4b37-bde1-a180bfe73da0,908604cd-c647-43cf-869d-d646110b3cc0,-488,-14101
